tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f,map,sim0,maize,se,5000,100000,100.0,0,99.571,99.17079,,22.3,8.16743
strobealign-caa3745f,map,sim0,maize,se,10000,50000,100.0,0,99.728,99.48751,,25.2,8.32451
strobealign-caa3745f,map,sim4,maize,se,1000,500000,99.9206,397,97.3102,93.10306,,15.2,8.32479
strobealign-caa3745f,map,sim4,maize,se,5000,100000,99.719,281,99.219,98.20925,,17.5,8.29024
strobealign-caa3745f,map,sim4,maize,se,10000,50000,99.526,237,99.224,98.66836,,20.1,8.28328
strobealign-caa3745f,map,sim6,maize,se,1000,500000,99.9254,373,87.7868,73.11595,,10.0,8.25634
strobealign-caa3745f,map,sim6,maize,se,5000,100000,99.758,242,98.387,93.23436,,11.3,8.26352
strobealign-caa3745f,map,sim6,maize,se,10000,50000,99.522,239,98.912,96.01369,,12.3,8.26201
strobealign-caa3745f-k16s12l2u2,map,sim0,maize,se,1000,500000,100.0,0,98.0614,93.71206,,31.8,9.90927
strobealign-caa3745f-k16s12l2u2,map,sim0,maize,se,5000,100000,100.0,0,99.612,98.65073,,45.6,10.0228
strobealign-caa3745f-k16s12l2u2,map,sim0,maize,se,10000,50000,100.0,0,99.746,99.23524,,54.0,10.124
strobealign-caa3745f-k16s12l2u2,map,sim4,maize,se,1000,500000,99.9206,397,97.4636,91.36454,,26.4,10.0986
strobealign-caa3745f-k16s12l2u2,map,sim4,maize,se,5000,100000,99.719,281,99.269,97.83787,,35.9,10.0562
strobealign-caa3745f-k16s12l2u2,map,sim4,maize,se,10000,50000,99.526,237,99.256,98.48579,,41.3,10.0459
strobealign-caa3745f-k16s12l2u2,map,sim6,maize,se,1000,500000,99.9254,373,90.2384,76.02064,,14.4,9.99429
strobealign-caa3745f-k16s12l2u2,map,sim6,maize,se,5000,100000,99.758,242,98.355,91.74435,,16.1,9.99197
strobealign-caa3745f-k16s12l2u2,map,sim6,maize,se,10000,50000,99.522,239,98.976,94.51775,,18.1,10.0068
minimap2,map,sim0,maize,se,1000,500000,99.9172,0,98.0652,93.13155,,76.236,4.97374
minimap2,map,sim0,maize,se,5000,100000,99.997,0,99.621,98.58195,,112.654,5.13725
