tool,type,dataset,genome,read_length,aligned,accuracy,overaligned,time,memory
bwamem,align,sim5,drosophila,500,98.5462,93.3263,14538,156.278,0.820206
minimap2,align,sim3,drosophila,50,92.1508,80.237,1653,15.928,1.31173
minimap2,align,sim3,drosophila,75,99.2447,87.9625,1774,22.478,1.34165
minimap2,align,sim3,drosophila,100,99.7442,89.4994,1943,15.315,1.27864
minimap2,align,sim3,drosophila,150,99.7854,91.0275,2128,17.460,1.25748
minimap2,align,sim3,drosophila,200,99.7451,92.028,2546,21.310,1.17519
minimap2,align,sim3,drosophila,300,99.6952,93.2637,3048,34.062,1.09874
minimap2,align,sim3,drosophila,500,99.5781,94.6323,4194,64.349,1.03486
minimap2,align,sim4,drosophila,50,83.8142,72.9015,3010,16.526,1.28729
minimap2,align,sim4,drosophila,75,97.3052,86.1319,3240,21.869,1.32374
minimap2,align,sim4,drosophila,100,99.2374,88.9428,3528,14.829,1.27778
minimap2,align,sim4,drosophila,150,99.5822,90.8064,4066,17.462,1.23621
minimap2,align,sim4,drosophila,200,99.5394,91.765,4599,21.540,1.17242
minimap2,align,sim4,drosophila,300,99.428,92.9367,5720,34.260,1.09254
minimap2,align,sim4,drosophila,500,99.2182,94.2627,7801,65.419,1.03066
minimap2,align,sim5,drosophila,50,81.2295,70.6112,6066,15.503,1.26339
minimap2,align,sim5,drosophila,75,95.1079,84.0773,6477,22.265,1.31787
minimap2,align,sim5,drosophila,100,97.5796,87.2804,7107,15.306,1.2809
minimap2,align,sim5,drosophila,150,98.912,89.9548,8060,17.573,1.24262
minimap2,align,sim5,drosophila,200,99.0614,91.1365,9155,21.938,1.15887
minimap2,align,sim5,drosophila,300,98.8895,92.3124,11099,35.113,1.09305
minimap2,align,sim5,drosophila,500,98.5462,93.2976,14538,60.251,1.03169
strobealign-0.14.0,map,sim3,drosophila,50,96.5987,83.4339,256,2.87,0.732819
strobealign-0.14.0,map,sim3,drosophila,75,99.3256,87.3618,416,3.43,0.753262
strobealign-0.14.0,map,sim3,drosophila,100,99.5139,88.5582,639,4.07,0.774361
strobealign-0.14.0,map,sim3,drosophila,150,99.7261,90.3876,966,4.85,0.818718
strobealign-0.14.0,map,sim3,drosophila,200,99.7331,91.4577,1363,5.74,0.861439
strobealign-0.14.0,map,sim3,drosophila,300,99.6948,92.8086,2123,8.82,0.949718
strobealign-0.14.0,map,sim3,drosophila,500,99.5778,94.0872,3611,10.49,0.995132
strobealign-0.14.0,map,sim4,drosophila,50,91.9849,79.0747,403,2.66,0.729656
strobealign-0.14.0,map,sim4,drosophila,75,97.5906,85.3282,756,3.38,0.755306
strobealign-0.14.0,map,sim4,drosophila,100,98.1778,86.8401,1099,3.78,0.774769
strobealign-0.14.0,map,sim4,drosophila,150,99.0704,89.3105,1675,4.39,0.816994
strobealign-0.14.0,map,sim4,drosophila,200,99.3852,90.644,2369,5.20,0.860153
strobealign-0.14.0,map,sim4,drosophila,300,99.425,92.0327,3938,8.23,0.950359
strobealign-0.14.0,map,sim4,drosophila,500,99.2182,93.197,6587,9.80,0.996784
strobealign-0.14.0,map,sim5,drosophila,50,89.6078,76.8779,772,2.65,0.731762
strobealign-0.14.0,map,sim5,drosophila,75,95.5804,83.4334,1443,3.33,0.75423
strobealign-0.14.0,map,sim5,drosophila,100,96.3252,84.9791,2116,3.74,0.775135
strobealign-0.14.0,map,sim5,drosophila,150,97.3895,87.556,3232,4.18,0.818382
strobealign-0.14.0,map,sim5,drosophila,200,98.1903,89.3052,4421,5.13,0.861359
strobealign-0.14.0,map,sim5,drosophila,300,98.8451,91.3044,7338,7.46,0.950024
strobealign-0.14.0,map,sim5,drosophila,500,98.5412,92.1662,11893,8.45,0.962891
strobealign-mcs-022a721,map,sim3,drosophila,50,99.6035,85.8457,552,3.86,0.732571
strobealign-mcs-022a721,map,sim3,drosophila,75,99.7423,87.7993,477,5.18,0.755939
strobealign-mcs-022a721,map,sim3,drosophila,100,99.7957,88.9232,897,5.36,0.77494
strobealign-mcs-022a721,map,sim3,drosophila,150,99.7841,90.4496,1118,6.83,0.819111
strobealign-mcs-022a721,map,sim3,drosophila,200,99.7441,91.4429,1551,8.11,0.862873
strobealign-mcs-022a721,map,sim3,drosophila,300,99.6952,92.8184,2273,11.15,0.947502
strobealign-mcs-022a721,map,sim3,drosophila,500,99.5782,94.1129,3764,13.45,0.995365
strobealign-mcs-022a721,map,sim4,drosophila,50,98.8709,84.2449,969,3.70,0.733948
strobealign-mcs-022a721,map,sim4,drosophila,75,99.3028,86.8757,905,4.94,0.754208
