tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f,align,sim0,CHM13,se,50,1000000,99.0717,0,86.8105,86.79903,97.0962,3.5,14.424
strobealign-caa3745f,align,sim0,CHM13,se,75,1000000,99.6226,0,90.2529,90.24213,98.378,3.4,14.4033
strobealign-caa3745f,align,sim0,CHM13,se,100,1000000,99.8194,0,91.6071,91.59821,98.9662,3.5,14.4015
strobealign-caa3745f,align,sim0,CHM13,se,150,1000000,100.0,0,92.9688,92.96246,99.3947,4.3,14.4236
strobealign-caa3745f,align,sim0,CHM13,se,200,1000000,100.0,0,93.7071,93.7029,99.5748,5.1,14.4195
strobealign-caa3745f,align,sim0,CHM13,se,300,1000000,100.0,0,94.6556,94.65337,99.6777,7.6,14.4448
strobealign-caa3745f,align,sim0,CHM13,se,500,1000000,100.0,0,95.7426,95.74184,99.8339,9.7,10.8847
strobealign-caa3745f,align,sim4,CHM13,se,50,1000000,98.8805,74,84.4052,84.03385,95.3815,5.0,14.4304
strobealign-caa3745f,align,sim4,CHM13,se,75,1000000,99.5776,100,88.9157,88.36312,97.2924,5.0,14.4203
strobealign-caa3745f,align,sim4,CHM13,se,100,1000000,99.8664,142,90.7756,90.13712,98.1365,5.3,14.4463
strobealign-caa3745f,align,sim4,CHM13,se,150,1000000,99.9818,176,92.4397,91.84306,98.4815,6.6,14.475
strobealign-caa3745f,align,sim4,CHM13,se,200,1000000,99.9769,231,93.2847,92.76151,98.5556,8.8,14.4987
strobealign-caa3745f,align,sim4,CHM13,se,300,1000000,99.9694,306,94.267,93.85936,98.6711,14.9,14.5771
strobealign-caa3745f,align,sim4,CHM13,se,500,1000000,99.9521,479,95.4308,95.12316,98.9958,30.5,11.0824
strobealign-caa3745f,align,sim6,CHM13,se,50,1000000,91.5182,72,59.236,57.87601,73.5257,7.8,14.4301
strobealign-caa3745f,align,sim6,CHM13,se,75,1000000,89.6498,89,69.1839,67.19442,79.0519,8.7,14.4207
strobealign-caa3745f,align,sim6,CHM13,se,100,1000000,95.1928,113,77.2691,74.57016,86.5193,11.0,14.4438
strobealign-caa3745f,align,sim6,CHM13,se,150,1000000,98.9599,164,85.0746,81.2313,92.9636,13.9,14.5315
strobealign-caa3745f,align,sim6,CHM13,se,200,1000000,99.2309,237,87.8157,83.48467,94.6577,20.9,14.5719
