tool,type,dataset,genome,ends,read_length,aligned,accuracy,overaligned,time,memory
strobealign-mcs-feed434,align,sim5,drosophila,se,50,94.9906,82.163,6066,2.59,0.777069
strobealign-mcs-feed434,align,sim5,drosophila,se,75,97.4186,86.0026,6477,3.47,0.816795
strobealign-mcs-feed434,align,sim5,drosophila,se,100,98.2662,87.7499,7107,4.48,0.841213
strobealign-mcs-feed434,align,sim5,drosophila,se,150,98.9955,89.9456,8060,6.47,0.914471
strobealign-mcs-feed434,align,sim5,drosophila,se,200,99.0282,91.0236,9155,9.87,0.978977
strobealign-mcs-feed434,align,sim5,drosophila,se,300,98.8877,92.2341,11099,20.76,1.09503
strobealign-mcs-feed434,align,sim5,drosophila,se,500,98.546,93.2341,14538,46.46,1.21381
bwamem,align,sim3,drosophila,se,50,99.5792,86.8397,1653,8.962,1.3358
bwamem,align,sim3,drosophila,se,75,99.7566,88.4978,1774,11.204,1.20454
bwamem,align,sim3,drosophila,se,100,99.7983,89.6202,1943,12.194,1.03545
bwamem,align,sim3,drosophila,se,150,99.7872,91.0335,2128,16.949,0.914959
bwamem,align,sim3,drosophila,se,200,99.7454,92.0125,2546,21.644,0.865139
bwamem,align,sim3,drosophila,se,300,99.6952,93.2682,3048,35.105,0.886311
bwamem,align,sim3,drosophila,se,500,99.5782,94.6564,4194,65.243,0.912117
bwamem,align,sim4,drosophila,se,50,98.3716,85.7279,3010,9.257,1.3473
bwamem,align,sim4,drosophila,se,75,99.327,88.006,3240,12.160,1.24197
bwamem,align,sim4,drosophila,se,100,99.5997,89.3406,3528,13.487,1.05921
bwamem,align,sim4,drosophila,se,150,99.5931,90.7956,4066,20.330,0.931793
bwamem,align,sim4,drosophila,se,200,99.5401,91.7618,4599,27.211,0.868385
bwamem,align,sim4,drosophila,se,300,99.428,92.9709,5720,46.331,0.888824
bwamem,align,sim4,drosophila,se,500,99.2182,94.2438,7801,88.350,0.914581
bwamem,align,sim5,drosophila,se,50,95.7617,83.3992,6066,9.206,1.33212
bwamem,align,sim5,drosophila,se,75,97.5165,86.3288,6477,12.180,1.24042
bwamem,align,sim5,drosophila,se,100,98.3283,88.0335,7107,13.938,1.0654
bwamem,align,sim5,drosophila,se,150,99.1255,90.1595,8060,20.427,0.944359
bwamem,align,sim5,drosophila,se,200,99.0785,91.1552,9155,27.728,0.877678
bwamem,align,sim5,drosophila,se,300,98.89,92.3194,11099,47.960,0.905037
bwamem,align,sim5,drosophila,se,500,98.5462,93.3263,14538,85.208,0.834343
minimap2,align,sim3,drosophila,se,50,92.1508,80.237,1653,5.417,1.32191
minimap2,align,sim3,drosophila,se,75,99.2447,87.9625,1774,6.881,1.38526
minimap2,align,sim3,drosophila,se,100,99.7442,89.4994,1943,7.195,1.30883
minimap2,align,sim3,drosophila,se,150,99.7854,91.0275,2128,9.146,1.34452
minimap2,align,sim3,drosophila,se,200,99.7451,92.028,2546,10.687,1.25211
minimap2,align,sim3,drosophila,se,300,99.6952,93.2637,3048,15.906,1.14208
minimap2,align,sim3,drosophila,se,500,99.5781,94.6323,4194,29.929,1.04922
minimap2,align,sim4,drosophila,se,50,83.8142,72.9015,3010,5.360,1.30763
minimap2,align,sim4,drosophila,se,75,97.3052,86.1319,3240,6.842,1.36516
minimap2,align,sim4,drosophila,se,100,99.2374,88.9428,3528,7.650,1.34479
minimap2,align,sim4,drosophila,se,150,99.5822,90.8064,4066,9.275,1.329
minimap2,align,sim4,drosophila,se,200,99.5394,91.765,4599,10.529,1.26158
minimap2,align,sim4,drosophila,se,300,99.428,92.9367,5720,15.949,1.10973
minimap2,align,sim4,drosophila,se,500,99.2182,94.2627,7801,29.775,1.05027
minimap2,align,sim5,drosophila,se,50,81.2295,70.6112,6066,5.280,1.27918
minimap2,align,sim5,drosophila,se,75,95.1079,84.0773,6477,6.828,1.36366
minimap2,align,sim5,drosophila,se,100,97.5796,87.2804,7107,7.368,1.30065
minimap2,align,sim5,drosophila,se,150,98.912,89.9548,8060,8.885,1.27503
minimap2,align,sim5,drosophila,se,200,99.0614,91.1365,9155,10.882,1.2334
minimap2,align,sim5,drosophila,se,300,98.8895,92.3124,11099,16.337,1.11118
minimap2,align,sim5,drosophila,se,500,98.5462,93.2976,14538,27.533,1.05332
xmapper,align,sim3,drosophila,se,50,99.2175,86.644,1653,9.166,8.74014
xmapper,align,sim3,drosophila,se,75,99.2867,88.0985,1774,29.131,10.0083
xmapper,align,sim3,drosophila,se,100,99.2139,89.0909,1943,30.531,9.31324
xmapper,align,sim3,drosophila,se,150,99.1755,90.4561,2128,14.003,8.82125
xmapper,align,sim3,drosophila,se,200,99.2084,91.5001,2546,41.931,8.56362
xmapper,align,sim3,drosophila,se,300,99.546,93.1079,3048,65.483,9.54806
xmapper,align,sim3,drosophila,se,500,99.5673,94.6097,4194,100.396,9.24121
xmapper,align,sim4,drosophila,se,50,97.1884,84.8552,3010,9.736,8.79667
xmapper,align,sim4,drosophila,se,75,97.0508,86.0098,3240,30.871,8.72818
xmapper,align,sim4,drosophila,se,100,96.7195,86.727,3528,32.857,9.00072
xmapper,align,sim4,drosophila,se,150,96.3649,87.7939,4066,23.523,10.178
xmapper,align,sim4,drosophila,se,200,96.5627,88.9295,4599,61.788,9.77291
xmapper,align,sim4,drosophila,se,300,98.138,91.6225,5720,143.511,8.98919
xmapper,align,sim4,drosophila,se,500,98.9115,93.9053,7801,280.548,8.83764
xmapper,align,sim5,drosophila,se,50,93.5201,81.5646,6066,10.647,9.04884
xmapper,align,sim5,drosophila,se,75,92.6509,82.0747,6477,32.315,9.84788
xmapper,align,sim5,drosophila,se,100,91.5856,82.0062,7107,18.191,8.99349
xmapper,align,sim5,drosophila,se,150,89.7792,81.5839,8060,31.137,9.72694
xmapper,align,sim5,drosophila,se,200,88.4692,81.1878,9155,74.337,8.25818
xmapper,align,sim5,drosophila,se,300,87.1712,80.9737,11099,204.151,10.0357
xmapper,align,sim5,drosophila,se,500,88.1674,82.896,14538,727.063,9.47888
strobealign-0.14.0,map,sim3,drosophila,se,50,96.5987,83.4339,256,1.04,0.753971
strobealign-0.14.0,map,sim3,drosophila,se,75,99.3256,87.3618,416,1.34,0.78957
strobealign-0.14.0,map,sim3,drosophila,se,100,99.5139,88.5582,639,1.55,0.799648
strobealign-0.14.0,map,sim3,drosophila,se,150,99.7261,90.3876,966,1.89,0.828247
strobealign-0.14.0,map,sim3,drosophila,se,200,99.7331,91.4577,1363,2.37,0.87788
strobealign-0.14.0,map,sim3,drosophila,se,300,99.6948,92.8086,2123,3.77,0.97237
strobealign-0.14.0,map,sim3,drosophila,se,500,99.5778,94.0872,3611,4.67,1.0029
strobealign-0.14.0,map,sim4,drosophila,se,50,91.9849,79.0747,403,0.97,0.752945
strobealign-0.14.0,map,sim4,drosophila,se,75,97.5906,85.3282,756,1.27,0.790497
strobealign-0.14.0,map,sim4,drosophila,se,100,98.1778,86.8401,1099,1.42,0.800087
strobealign-0.14.0,map,sim4,drosophila,se,150,99.0704,89.3105,1675,1.72,0.835506
strobealign-0.14.0,map,sim4,drosophila,se,200,99.3852,90.644,2369,2.16,0.88192
strobealign-0.14.0,map,sim4,drosophila,se,300,99.425,92.0327,3938,3.30,0.973049
strobealign-0.14.0,map,sim4,drosophila,se,500,99.2182,93.197,6587,4.09,1.00339
strobealign-0.14.0,map,sim5,drosophila,se,50,89.6078,76.8779,772,0.93,0.752079
strobealign-0.14.0,map,sim5,drosophila,se,75,95.5804,83.4334,1443,1.24,0.789021
strobealign-0.14.0,map,sim5,drosophila,se,100,96.3252,84.9791,2116,1.39,0.798882
strobealign-0.14.0,map,sim5,drosophila,se,150,97.3895,87.556,3232,1.72,0.827744
strobealign-0.14.0,map,sim5,drosophila,se,200,98.1903,89.3052,4421,2.08,0.87886
strobealign-0.14.0,map,sim5,drosophila,se,300,98.8451,91.3044,7338,3.20,0.97467
strobealign-0.14.0,map,sim5,drosophila,se,500,98.5412,92.1662,11893,3.69,0.979179
strobealign-mcs-022a721,map,sim3,drosophila,se,50,99.6035,85.8457,552,1.40,0.75061
strobealign-mcs-022a721,map,sim3,drosophila,se,75,99.7423,87.7993,477,1.92,0.791412
strobealign-mcs-022a721,map,sim3,drosophila,se,100,99.7957,88.9232,897,2.10,0.794521
strobealign-mcs-022a721,map,sim3,drosophila,se,150,99.7841,90.4496,1118,2.73,0.823196
strobealign-mcs-022a721,map,sim3,drosophila,se,200,99.7441,91.4429,1551,3.39,0.880741
strobealign-mcs-022a721,map,sim3,drosophila,se,300,99.6952,92.8184,2273,5.00,0.97052
strobealign-mcs-022a721,map,sim3,drosophila,se,500,99.5782,94.1129,3764,6.13,1.00477
strobealign-mcs-022a721,map,sim4,drosophila,se,50,98.8709,84.2449,969,1.36,0.75362
strobealign-mcs-022a721,map,sim4,drosophila,se,75,99.3028,86.8757,905,1.86,0.791294
strobealign-mcs-022a721,map,sim4,drosophila,se,100,99.6193,88.2473,1597,2.05,0.794567
strobealign-mcs-022a721,map,sim4,drosophila,se,150,99.5905,89.8141,2055,2.66,0.825504
strobealign-mcs-022a721,map,sim4,drosophila,se,200,99.539,90.8082,2740,3.28,0.883175
strobealign-mcs-022a721,map,sim4,drosophila,se,300,99.428,92.0986,4261,4.80,0.974331
strobealign-mcs-022a721,map,sim4,drosophila,se,500,99.2182,93.2426,6935,5.85,1.00775
strobealign-mcs-022a721,map,sim5,drosophila,se,50,97.2505,82.3635,1945,1.33,0.751114
strobealign-mcs-022a721,map,sim5,drosophila,se,75,97.7708,85.361,1747,1.79,0.791214
strobealign-mcs-022a721,map,sim5,drosophila,se,100,98.7751,87.0503,3100,2.01,0.792786
strobealign-mcs-022a721,map,sim5,drosophila,se,150,99.1207,89.0068,3940,2.66,0.829063
strobealign-mcs-022a721,map,sim5,drosophila,se,200,99.0697,90.0266,5293,3.26,0.877911
strobealign-mcs-022a721,map,sim5,drosophila,se,300,98.8896,91.4041,8050,4.78,0.971745
strobealign-mcs-022a721,map,sim5,drosophila,se,500,98.5462,92.1939,12599,5.26,0.972111
strobealign-mcs-feed434,map,sim3,drosophila,se,50,98.9508,85.4154,314,1.07,0.76199
strobealign-mcs-feed434,map,sim3,drosophila,se,75,99.7018,87.672,463,1.39,0.795765
strobealign-mcs-feed434,map,sim3,drosophila,se,100,99.7767,88.8004,704,1.62,0.804623
strobealign-mcs-feed434,map,sim3,drosophila,se,150,99.7837,90.4228,1097,1.96,0.830109
strobealign-mcs-feed434,map,sim3,drosophila,se,200,99.7432,91.4431,1546,2.43,0.88763
strobealign-mcs-feed434,map,sim3,drosophila,se,300,99.6949,92.8058,2283,3.82,0.982277
strobealign-mcs-feed434,map,sim3,drosophila,se,500,99.5778,94.093,3767,4.88,1.01752
strobealign-mcs-feed434,map,sim4,drosophila,se,50,97.0716,83.315,534,1.00,0.753735
strobealign-mcs-feed434,map,sim4,drosophila,se,75,99.0829,86.6342,865,1.31,0.796909
strobealign-mcs-feed434,map,sim4,drosophila,se,100,99.4872,87.9897,1256,1.47,0.802689
strobealign-mcs-feed434,map,sim4,drosophila,se,150,99.5741,89.7884,2009,1.82,0.832672
strobealign-mcs-feed434,map,sim4,drosophila,se,200,99.5343,90.7832,2741,2.25,0.890881
strobealign-mcs-feed434,map,sim4,drosophila,se,300,99.4279,92.0273,4258,3.43,0.979118
strobealign-mcs-feed434,map,sim4,drosophila,se,500,99.2182,93.1826,6926,4.32,1.01541
strobealign-mcs-feed434,map,sim5,drosophila,se,50,94.9906,81.3494,1048,0.97,0.758835
strobealign-mcs-feed434,map,sim5,drosophila,se,75,97.4186,85.0121,1647,1.27,0.79937
strobealign-mcs-feed434,map,sim5,drosophila,se,100,98.2662,86.6521,2447,1.45,0.807865
strobealign-mcs-feed434,map,sim5,drosophila,se,150,98.9955,88.9078,3898,1.80,0.833565
strobealign-mcs-feed434,map,sim5,drosophila,se,200,99.0282,90.0123,5229,2.17,0.888683
strobealign-mcs-feed434,map,sim5,drosophila,se,300,98.8877,91.3111,8055,3.37,0.981636
strobealign-mcs-feed434,map,sim5,drosophila,se,500,98.546,92.1748,12613,3.87,0.988461
minimap2,map,sim3,drosophila,se,50,92.1518,79.5481,178,2.354,1.04165
minimap2,map,sim3,drosophila,se,75,99.2447,87.2908,399,2.676,1.01998
minimap2,map,sim3,drosophila,se,100,99.7443,88.9176,660,3.148,0.987335
minimap2,map,sim3,drosophila,se,150,99.7854,90.57,1061,4.096,0.967579
minimap2,map,sim3,drosophila,se,200,99.7451,91.6701,1504,5.272,0.936317
minimap2,map,sim3,drosophila,se,300,99.6952,92.9997,2258,8.104,0.903069
minimap2,map,sim3,drosophila,se,500,99.5781,94.436,3765,14.190,0.871716
minimap2,map,sim4,drosophila,se,50,83.818,72.2533,274,2.307,1.03942
minimap2,map,sim4,drosophila,se,75,97.3055,85.3245,712,2.565,1.01419
minimap2,map,sim4,drosophila,se,100,99.2387,88.2033,1142,3.028,0.982147
minimap2,map,sim4,drosophila,se,150,99.5822,90.2003,1930,3.891,0.964367
minimap2,map,sim4,drosophila,se,200,99.5394,91.2908,2683,4.931,0.954681
minimap2,map,sim4,drosophila,se,300,99.428,92.5756,4202,7.181,0.894531
minimap2,map,sim4,drosophila,se,500,99.2182,93.99,6933,12.954,0.866226
minimap2,map,sim5,drosophila,se,50,81.2385,69.9573,496,2.236,1.02186
minimap2,map,sim5,drosophila,se,75,95.1085,83.3583,1371,2.506,1.01352
minimap2,map,sim5,drosophila,se,100,97.5811,86.6598,2219,3.026,0.981308
minimap2,map,sim5,drosophila,se,150,98.913,89.4396,3696,3.900,0.972874
minimap2,map,sim5,drosophila,se,200,99.0614,90.7024,5132,4.774,0.926529
