tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f,align,sim0,fruitfly,se,50,1000000,99.9797,0,89.0406,89.03719,99.9315,1.4,0.730713
strobealign-caa3745f,align,sim0,fruitfly,se,75,1000000,99.9953,0,90.2678,90.26546,99.9602,1.7,0.740246
strobealign-caa3745f,align,sim0,fruitfly,se,100,1000000,99.9935,0,91.0911,91.08915,99.9616,2.1,0.766197
strobealign-caa3745f,align,sim0,fruitfly,se,150,1000000,100.0,0,92.2453,92.24192,99.9702,2.8,0.77607
strobealign-caa3745f,align,sim0,fruitfly,se,200,1000000,100.0,0,93.0287,93.02525,99.9712,3.7,0.792992
strobealign-caa3745f,align,sim0,fruitfly,se,300,1000000,100.0,0,94.0985,94.09502,99.954,5.3,0.824657
strobealign-caa3745f,align,sim0,fruitfly,se,500,1000000,100.0,0,95.431,95.42634,99.9479,7.4,0.782936
strobealign-caa3745f,align,sim4,fruitfly,se,50,1000000,99.0424,68,87.8057,87.40549,98.8384,2.6,0.755119
strobealign-caa3745f,align,sim4,fruitfly,se,75,1000000,99.7745,86,89.7131,89.15047,99.6666,3.3,0.778038
strobealign-caa3745f,align,sim4,fruitfly,se,100,1000000,99.9647,111,90.7616,90.11634,99.8789,4.3,0.826286
strobealign-caa3745f,align,sim4,fruitfly,se,150,1000000,99.9855,143,91.9855,91.38965,99.9003,5.9,0.845005
strobealign-caa3745f,align,sim4,fruitfly,se,200,1000000,99.9814,186,92.7957,92.27858,99.9013,8.2,0.878265
strobealign-caa3745f,align,sim4,fruitfly,se,300,1000000,99.9725,275,93.9147,93.51057,99.8737,16.0,0.949036
strobealign-caa3745f,align,sim4,fruitfly,se,500,1000000,99.9604,396,95.2668,94.95697,99.8657,38.9,0.991058
strobealign-caa3745f,align,sim6,fruitfly,se,50,1000000,76.7526,74,65.1585,63.62519,74.2175,3.2,0.756344
strobealign-caa3745f,align,sim6,fruitfly,se,75,1000000,84.0452,92,74.1476,71.99417,83.0563,5.0,0.783699
strobealign-caa3745f,align,sim6,fruitfly,se,100,1000000,91.9178,100,82.1045,79.19009,91.1544,7.3,0.817852
strobealign-caa3745f,align,sim6,fruitfly,se,150,1000000,97.8988,153,89.0589,84.97327,97.4218,10.8,0.838985
strobealign-caa3745f,align,sim6,fruitfly,se,200,1000000,98.7846,229,90.8862,86.36777,98.4301,18.7,0.874329
strobealign-caa3745f,align,sim6,fruitfly,se,300,1000000,99.855,267,93.2142,88.91933,99.6417,38.4,0.948406
strobealign-caa3745f,align,sim6,fruitfly,se,500,1000000,99.954,407,94.795,91.66696,99.8397,98.6,0.991718
strobealign-caa3745f-mcsoff,align,sim0,fruitfly,se,50,1000000,99.9793,0,89.037,89.03406,99.9196,1.4,0.732025
strobealign-caa3745f-mcsoff,align,sim0,fruitfly,se,75,1000000,99.9952,0,90.2296,90.22758,99.9415,1.6,0.743492
strobealign-caa3745f-mcsoff,align,sim0,fruitfly,se,100,1000000,99.9934,0,91.0472,91.04528,99.9448,1.9,0.770321
strobealign-caa3745f-mcsoff,align,sim0,fruitfly,se,150,1000000,100.0,0,92.2041,92.20131,99.9575,2.5,0.774384
strobealign-caa3745f-mcsoff,align,sim0,fruitfly,se,200,1000000,100.0,0,93.0213,93.01754,99.959,3.1,0.788162
strobealign-caa3745f-mcsoff,align,sim0,fruitfly,se,300,1000000,100.0,0,94.0927,94.08909,99.9478,4.8,0.825993
strobealign-caa3745f-mcsoff,align,sim0,fruitfly,se,500,1000000,100.0,0,95.4303,95.42608,99.9383,7.0,0.77951
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,se,50,1000000,91.2986,68,80.7033,80.45736,91.0045,2.5,0.756275
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,se,75,1000000,97.5859,86,87.6398,87.19138,97.3876,3.3,0.780682
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,se,100,1000000,98.2162,111,89.0661,88.53053,98.0404,4.2,0.829277
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,se,150,1000000,99.2756,143,91.2313,90.67305,99.1245,5.9,0.843193
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,se,200,1000000,99.7474,186,92.5069,91.9996,99.6266,7.6,0.878242
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,se,300,1000000,99.9669,275,93.8618,93.4583,99.8533,14.3,0.948402
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,se,500,1000000,99.9604,396,95.2292,94.91889,99.8491,35.3,0.98941
strobealign-caa3745f-mcsoff,align,sim6,fruitfly,se,50,1000000,41.5144,74,35.6499,35.04184,40.8146,2.2,0.757252
strobealign-caa3745f-mcsoff,align,sim6,fruitfly,se,75,1000000,52.6831,92,46.0544,44.9932,51.8991,3.1,0.77372
strobealign-caa3745f-mcsoff,align,sim6,fruitfly,se,100,1000000,49.4517,100,43.5954,42.48494,48.7081,4.0,0.825382
strobealign-caa3745f-mcsoff,align,sim6,fruitfly,se,150,1000000,50.0089,153,44.4259,43.17998,49.0621,5.5,0.835064
strobealign-caa3745f-mcsoff,align,sim6,fruitfly,se,200,1000000,52.1649,229,46.7662,45.23963,51.2315,8.6,0.877247
strobealign-caa3745f-mcsoff,align,sim6,fruitfly,se,300,1000000,70.5204,267,64.4823,62.01708,69.6517,23.3,0.951752
strobealign-caa3745f-mcsoff,align,sim6,fruitfly,se,500,1000000,78.8421,407,73.2299,70.91952,78.1024,68.5,0.989143
bwamem,align,sim0,fruitfly,se,50,1000000,100.0,0,89.0821,89.07887,89.0821,6.607,1.16228
bwamem,align,sim0,fruitfly,se,75,1000000,100.0,0,90.2855,90.28301,90.2855,7.743,1.07891
bwamem,align,sim0,fruitfly,se,100,1000000,100.0,0,91.1023,91.10013,91.1023,8.415,0.979221
bwamem,align,sim0,fruitfly,se,150,1000000,100.0,0,92.2694,92.26632,92.2694,11.216,0.905579
bwamem,align,sim0,fruitfly,se,200,1000000,100.0,0,93.0477,93.04453,93.0477,14.112,0.854336
bwamem,align,sim0,fruitfly,se,300,1000000,100.0,0,94.1196,94.1144,94.1196,21.093,0.879196
bwamem,align,sim0,fruitfly,se,500,1000000,100.0,0,95.467,95.46256,95.467,34.692,0.899002
bwamem,align,sim4,fruitfly,se,50,1000000,98.6501,68,87.6179,87.37193,87.7006,8.726,1.18646
bwamem,align,sim4,fruitfly,se,75,1000000,99.6478,86,89.6474,89.13029,89.8946,11.662,1.13217
bwamem,align,sim4,fruitfly,se,100,1000000,99.9426,111,90.7662,90.07684,91.0929,13.090,0.991798
