tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f-k16s12l2u2,align,sim0,CHM13,se,75,1000000,99.8286,0,90.0388,90.02706,96.8325,4.0,14.5254
strobealign-caa3745f-k16s12l2u2,align,sim0,CHM13,se,100,1000000,97.8503,0,91.4786,91.4693,97.2897,4.1,14.5909
strobealign-caa3745f-k16s12l2u2,align,sim0,CHM13,se,150,1000000,100.0,0,92.9087,92.90217,99.6773,6.6,14.5908
strobealign-caa3745f-k16s12l2u2,align,sim0,CHM13,se,200,1000000,100.0,0,93.702,93.69849,99.7735,8.0,14.6021
strobealign-caa3745f-k16s12l2u2,align,sim0,CHM13,se,300,1000000,100.0,0,94.6543,94.65237,99.8821,11.6,14.596
strobealign-caa3745f-k16s12l2u2,align,sim0,CHM13,se,500,1000000,100.0,0,95.7452,95.74478,99.9254,18.7,14.7319
strobealign-caa3745f-k16s12l2u2,align,sim4,CHM13,se,50,1000000,99.8252,74,84.3317,83.95259,94.3811,5.8,14.5317
strobealign-caa3745f-k16s12l2u2,align,sim4,CHM13,se,75,1000000,99.8951,100,88.7871,88.21931,96.2939,5.5,14.5346
strobealign-caa3745f-k16s12l2u2,align,sim4,CHM13,se,100,1000000,99.067,142,90.5835,89.94385,97.0589,6.2,14.5971
strobealign-caa3745f-k16s12l2u2,align,sim4,CHM13,se,150,1000000,99.9824,176,92.2931,91.69738,98.3879,8.8,14.5976
strobealign-caa3745f-k16s12l2u2,align,sim4,CHM13,se,200,1000000,99.9769,231,93.2153,92.69295,98.6455,12.3,14.5973
strobealign-caa3745f-k16s12l2u2,align,sim4,CHM13,se,300,1000000,99.9694,306,94.2533,93.84747,98.9721,19.9,14.6293
strobealign-caa3745f-k16s12l2u2,align,sim4,CHM13,se,500,1000000,99.9521,479,95.5168,95.21496,99.3936,42.2,14.7755
strobealign-caa3745f-k16s12l2u2,align,sim6,CHM13,se,50,1000000,99.5566,72,60.3035,58.87413,77.4162,11.6,14.5317
strobealign-caa3745f-k16s12l2u2,align,sim6,CHM13,se,75,1000000,99.9461,89,72.6285,70.41029,85.7468,11.7,14.5363
strobealign-caa3745f-k16s12l2u2,align,sim6,CHM13,se,100,1000000,99.972,113,79.7138,76.8063,90.5753,12.7,14.5971
strobealign-caa3745f-k16s12l2u2,align,sim6,CHM13,se,150,1000000,99.9836,164,86.4443,82.46932,94.3452,15.8,14.5948
strobealign-caa3745f-k16s12l2u2,align,sim6,CHM13,se,200,1000000,99.9763,237,89.4027,84.92352,95.9086,22.2,14.5943
strobealign-caa3745f-k16s12l2u2,align,sim6,CHM13,se,300,1000000,99.9665,335,91.9448,87.71231,97.3305,40.4,14.6342
strobealign-caa3745f-k16s12l2u2,align,sim6,CHM13,se,500,1000000,99.9551,449,93.8038,90.691,98.4467,97.5,14.7771
bwamem,align,sim0,CHM13,se,50,1000000,100.0,0,87.3504,87.33809,87.3504,27.462,8.64596
bwamem,align,sim0,CHM13,se,75,1000000,100.0,0,90.55,90.54047,90.55,25.181,7.66408
bwamem,align,sim0,CHM13,se,100,1000000,100.0,0,91.7873,91.77736,91.7873,25.012,6.93178
bwamem,align,sim0,CHM13,se,150,1000000,100.0,0,93.0517,93.04485,93.0517,28.997,6.27032
bwamem,align,sim0,CHM13,se,200,1000000,100.0,0,93.7783,93.77406,93.7783,33.190,5.99984
bwamem,align,sim0,CHM13,se,300,1000000,100.0,0,94.7023,94.70077,94.7023,45.325,5.75897
bwamem,align,sim0,CHM13,se,500,1000000,100.0,0,95.7624,95.76168,95.7624,66.359,5.75422
bwamem,align,sim4,CHM13,se,50,1000000,98.6835,74,85.3488,85.11067,85.4922,31.191,8.65213
bwamem,align,sim4,CHM13,se,75,1000000,99.6529,100,89.7856,89.27294,90.091,36.665,7.99955
bwamem,align,sim4,CHM13,se,100,1000000,99.941,142,91.3991,90.7098,91.7362,41.865,7.20516
bwamem,align,sim4,CHM13,se,150,1000000,99.9822,176,92.8177,92.1061,93.1615,65.012,6.53211
bwamem,align,sim4,CHM13,se,200,1000000,99.9769,231,93.567,92.95746,93.942,90.932,6.23536
bwamem,align,sim4,CHM13,se,300,1000000,99.9694,306,94.4987,94.04122,94.9113,151.778,5.91899
bwamem,align,sim4,CHM13,se,500,1000000,99.9521,479,95.6327,95.30525,96.0838,266.671,5.81704
bwamem,align,sim6,CHM13,se,50,1000000,74.8431,72,60.7862,59.93475,61.1627,30.543,7.99641
bwamem,align,sim6,CHM13,se,75,1000000,90.0549,89,77.1678,75.16317,78.5632,54.188,8.9733
bwamem,align,sim6,CHM13,se,100,1000000,95.1852,113,83.7621,80.85597,85.8037,76.802,8.60345
bwamem,align,sim6,CHM13,se,150,1000000,98.9058,164,89.6161,85.12924,92.074,134.713,7.86402
bwamem,align,sim6,CHM13,se,200,1000000,99.7835,237,91.8745,86.2924,94.2764,191.854,7.35579
bwamem,align,sim6,CHM13,se,300,1000000,99.9589,335,93.4916,87.2482,95.8502,306.013,6.67537
bwamem,align,sim6,CHM13,se,500,1000000,99.9551,449,94.8656,89.38506,97.2923,529.736,6.12629
minimap2,align,sim0,CHM13,se,50,1000000,95.5405,0,85.92,85.909,85.92,20.474,11.6844
minimap2,align,sim0,CHM13,se,75,1000000,98.3958,0,89.8444,89.83228,89.8444,23.533,11.6535
minimap2,align,sim0,CHM13,se,100,1000000,99.1868,0,91.4073,91.39824,91.4073,25.642,11.5093
minimap2,align,sim0,CHM13,se,150,1000000,99.6773,0,92.8668,92.85976,92.8668,29.771,11.4799
minimap2,align,sim0,CHM13,se,200,1000000,99.8506,0,93.6445,93.6395,93.6445,33.754,11.427
minimap2,align,sim0,CHM13,se,300,1000000,99.9535,0,94.6356,94.63347,94.6356,40.447,11.4802
minimap2,align,sim0,CHM13,se,500,1000000,99.9955,0,95.7378,95.73713,95.7378,54.732,11.5495
minimap2,align,sim4,CHM13,se,50,1000000,81.6319,74,71.6149,71.47017,71.7604,21.143,11.8076
minimap2,align,sim4,CHM13,se,75,1000000,96.3634,100,86.6912,86.26945,87.0188,23.023,11.6773
minimap2,align,sim4,CHM13,se,100,1000000,98.959,142,90.1712,89.58325,90.6048,25.893,11.525
minimap2,align,sim4,CHM13,se,150,1000000,99.783,176,92.3696,91.7711,92.8946,28.659,11.4819
minimap2,align,sim4,CHM13,se,200,1000000,99.9136,231,93.2937,92.76877,93.8891,31.788,11.4411
minimap2,align,sim4,CHM13,se,300,1000000,99.9587,306,94.3302,93.92569,95.0626,38.460,11.4795
minimap2,align,sim4,CHM13,se,500,1000000,99.9517,479,95.5309,95.22622,96.4555,58.386,11.4402
minimap2,align,sim6,CHM13,se,50,1000000,29.8644,72,22.3777,22.07843,23.1721,18.422,11.5874
minimap2,align,sim6,CHM13,se,75,1000000,53.5204,89,42.4374,41.53898,43.8633,20.276,11.4898
minimap2,align,sim6,CHM13,se,100,1000000,69.8119,113,57.4473,55.86923,59.6644,22.371,11.4897
minimap2,align,sim6,CHM13,se,150,1000000,87.5195,164,75.72,72.7786,78.9026,27.448,11.5265
