tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,50,1000000,99.97,0,89.0461,89.04295,99.9313,1.5,0.717926
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,75,1000000,99.9902,0,90.2467,90.24465,99.9673,1.9,0.74337
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,100,1000000,99.9959,0,91.1183,91.116,99.9799,2.3,0.769981
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,150,1000000,100.0,0,92.2405,92.23774,99.9884,3.1,0.772224
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,200,1000000,100.0,0,93.0314,93.02839,99.9939,4.3,0.784569
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,300,1000000,100.0,0,94.1262,94.12188,99.9956,6.7,0.817764
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,500,1000000,100.0,0,95.4675,95.4628,99.9962,9.5,0.771927
strobealign-caa3745f-mcsfirststrobe,align,sim4,fruitfly,se,50,1000000,99.0349,68,87.821,87.42019,98.8433,2.6,0.751495
strobealign-caa3745f-mcsfirststrobe,align,sim4,fruitfly,se,75,1000000,99.7709,86,89.7143,89.15233,99.6835,3.4,0.7757
strobealign-caa3745f-mcsfirststrobe,align,sim4,fruitfly,se,100,1000000,99.9657,111,90.7802,90.13348,99.9007,4.3,0.812515
strobealign-caa3745f-mcsfirststrobe,align,sim4,fruitfly,se,150,1000000,99.9855,143,92.0128,91.41791,99.9244,6.0,0.844997
strobealign-caa3745f-mcsfirststrobe,align,sim4,fruitfly,se,200,1000000,99.9814,186,92.7865,92.26916,99.9301,10.1,0.882359
strobealign-caa3745f-mcsfirststrobe,align,sim4,fruitfly,se,300,1000000,99.9725,275,93.9364,93.53165,99.9284,20.2,0.943077
strobealign-caa3745f-mcsfirststrobe,align,sim4,fruitfly,se,500,1000000,99.9604,396,95.3257,95.0152,99.9203,49.3,0.987968
strobealign-caa3745f-mcsfirststrobe,align,sim6,fruitfly,se,50,1000000,76.7489,74,65.1604,63.62861,74.2367,3.4,0.745274
strobealign-caa3745f-mcsfirststrobe,align,sim6,fruitfly,se,75,1000000,84.0439,92,74.1465,71.99365,83.0727,5.3,0.791389
strobealign-caa3745f-mcsfirststrobe,align,sim6,fruitfly,se,100,1000000,91.9175,100,82.114,79.20252,91.1729,7.6,0.811737
strobealign-caa3745f-mcsfirststrobe,align,sim6,fruitfly,se,150,1000000,97.8988,153,89.1115,85.02806,97.4575,11.5,0.845604
strobealign-caa3745f-mcsfirststrobe,align,sim6,fruitfly,se,200,1000000,98.7846,229,90.9349,86.41523,98.4699,19.0,0.872467
strobealign-caa3745f-mcsfirststrobe,align,sim6,fruitfly,se,300,1000000,99.855,267,93.2811,88.98317,99.6904,42.0,0.947029
strobealign-caa3745f-mcsfirststrobe,align,sim6,fruitfly,se,500,1000000,99.954,407,94.8533,91.72378,99.8814,108.0,0.97448
strobealign-caa3745f,map,sim0,fruitfly,se,50,1000000,99.9797,0,88.7432,80.38077,,1.0,0.703758
strobealign-caa3745f,map,sim0,fruitfly,se,75,1000000,99.9953,0,90.0553,84.34884,,1.2,0.734577
strobealign-caa3745f,map,sim0,fruitfly,se,100,1000000,99.9935,0,90.9121,86.57073,,1.5,0.740589
strobealign-caa3745f,map,sim0,fruitfly,se,150,1000000,100.0,0,92.0818,89.13227,,2.1,0.739128
strobealign-caa3745f,map,sim0,fruitfly,se,200,1000000,100.0,0,92.9167,90.67719,,2.7,0.747551
strobealign-caa3745f,map,sim0,fruitfly,se,300,1000000,100.0,0,93.9968,92.45809,,3.9,0.7784
strobealign-caa3745f,map,sim0,fruitfly,se,500,1000000,100.0,0,95.2939,93.88556,,4.7,0.717773
strobealign-caa3745f,map,sim4,fruitfly,se,50,1000000,99.0424,40,87.1057,72.46442,,1.0,0.73391
strobealign-caa3745f,map,sim4,fruitfly,se,75,1000000,99.7745,65,89.2317,77.04986,,1.2,0.766003
strobealign-caa3745f,map,sim4,fruitfly,se,100,1000000,99.9647,85,90.3375,80.4451,,1.4,0.794041
strobealign-caa3745f,map,sim4,fruitfly,se,150,1000000,99.9855,108,91.6476,84.50927,,2.0,0.804108
strobealign-caa3745f,map,sim4,fruitfly,se,200,1000000,99.9814,159,92.4446,86.31924,,2.5,0.833817
strobealign-caa3745f,map,sim4,fruitfly,se,300,1000000,99.9725,261,93.5748,89.24395,,3.6,0.899094
strobealign-caa3745f,map,sim4,fruitfly,se,500,1000000,99.9604,387,94.9019,91.39577,,4.3,0.92532
strobealign-caa3745f,map,sim6,fruitfly,se,50,1000000,76.7526,43,63.055,37.58246,,0.7,0.734577
strobealign-caa3745f,map,sim6,fruitfly,se,75,1000000,84.0452,54,72.4379,40.89559,,0.9,0.76865
strobealign-caa3745f,map,sim6,fruitfly,se,100,1000000,91.9178,62,80.2294,46.95744,,1.1,0.791679
strobealign-caa3745f,map,sim6,fruitfly,se,150,1000000,97.8988,133,87.2434,57.00657,,1.6,0.803787
strobealign-caa3745f,map,sim6,fruitfly,se,200,1000000,98.7846,185,89.0274,59.54547,,1.9,0.835052
strobealign-caa3745f,map,sim6,fruitfly,se,300,1000000,99.855,250,91.6023,69.52391,,2.7,0.899792
strobealign-caa3745f,map,sim6,fruitfly,se,500,1000000,99.954,394,93.1308,75.97428,,3.2,0.930637
strobealign-caa3745f-mcsrescue,map,sim0,fruitfly,se,50,1000000,99.9793,0,88.6259,77.70514,,0.9,0.710018
strobealign-caa3745f-mcsrescue,map,sim0,fruitfly,se,75,1000000,99.9952,0,89.9385,82.38961,,1.1,0.740528
strobealign-caa3745f-mcsrescue,map,sim0,fruitfly,se,100,1000000,99.9934,0,90.8082,84.80445,,1.4,0.74221
strobealign-caa3745f-mcsrescue,map,sim0,fruitfly,se,150,1000000,100.0,0,91.9696,87.62419,,1.8,0.739384
strobealign-caa3745f-mcsrescue,map,sim0,fruitfly,se,200,1000000,100.0,0,92.7794,89.40504,,2.4,0.745636
strobealign-caa3745f-mcsrescue,map,sim0,fruitfly,se,300,1000000,100.0,0,93.8775,91.57416,,4.0,0.775513
strobealign-caa3745f-mcsrescue,map,sim0,fruitfly,se,500,1000000,100.0,0,95.1558,93.10943,,4.4,0.718815
strobealign-caa3745f-mcsrescue,map,sim4,fruitfly,se,50,1000000,99.0406,40,86.9171,69.09412,,0.9,0.737144
strobealign-caa3745f-mcsrescue,map,sim4,fruitfly,se,75,1000000,99.7727,65,88.8722,71.03719,,1.1,0.753529
strobealign-caa3745f-mcsrescue,map,sim4,fruitfly,se,100,1000000,99.9634,85,89.8757,72.43559,,1.3,0.784691
strobealign-caa3745f-mcsrescue,map,sim4,fruitfly,se,150,1000000,99.9855,108,91.1665,77.5178,,1.6,0.801804
strobealign-caa3745f-mcsrescue,map,sim4,fruitfly,se,200,1000000,99.9814,159,91.9789,80.29088,,2.0,0.83287
strobealign-caa3745f-mcsrescue,map,sim4,fruitfly,se,300,1000000,99.9725,261,93.1874,84.48334,,3.0,0.897949
strobealign-caa3745f-mcsrescue,map,sim4,fruitfly,se,500,1000000,99.9604,387,94.4976,87.1726,,3.7,0.924679
strobealign-caa3745f-mcsrescue,map,sim6,fruitfly,se,50,1000000,76.7487,43,62.8942,35.64157,,0.6,0.729633
strobealign-caa3745f-mcsrescue,map,sim6,fruitfly,se,75,1000000,84.0424,54,71.974,35.48648,,0.9,0.74976
strobealign-caa3745f-mcsrescue,map,sim6,fruitfly,se,100,1000000,91.9152,62,79.4379,38.70326,,1.0,0.795441
strobealign-caa3745f-mcsrescue,map,sim6,fruitfly,se,150,1000000,97.8983,133,86.019,46.48772,,1.4,0.802925
strobealign-caa3745f-mcsrescue,map,sim6,fruitfly,se,200,1000000,98.7839,185,87.546,47.14786,,1.7,0.834827
strobealign-caa3745f-mcsrescue,map,sim6,fruitfly,se,300,1000000,99.855,250,89.068,45.95038,,2.3,0.903568
strobealign-caa3745f-mcsrescue,map,sim6,fruitfly,se,500,1000000,99.954,394,89.6559,43.92233,,2.8,0.934101
strobealign-caa3745f-mcsfirststrobe,map,sim0,fruitfly,se,50,1000000,99.97,0,88.766,80.31035,,1.1,0.712399
strobealign-caa3745f-mcsfirststrobe,map,sim0,fruitfly,se,75,1000000,99.9902,0,90.0375,84.18484,,1.3,0.736111
strobealign-caa3745f-mcsfirststrobe,map,sim0,fruitfly,se,100,1000000,99.9959,0,90.9075,86.33724,,1.7,0.74696
strobealign-caa3745f-mcsfirststrobe,map,sim0,fruitfly,se,150,1000000,100.0,0,92.082,88.8061,,2.4,0.737206
strobealign-caa3745f-mcsfirststrobe,map,sim0,fruitfly,se,200,1000000,100.0,0,92.9273,90.38525,,3.1,0.747353
strobealign-caa3745f-mcsfirststrobe,map,sim0,fruitfly,se,300,1000000,100.0,0,94.0276,92.20016,,4.6,0.777878
strobealign-caa3745f-mcsfirststrobe,map,sim0,fruitfly,se,500,1000000,100.0,0,95.3924,93.74012,,5.8,0.72036
strobealign-caa3745f-mcsfirststrobe,map,sim4,fruitfly,se,50,1000000,99.0349,40,87.1214,72.40751,,1.1,0.731647
strobealign-caa3745f-mcsfirststrobe,map,sim4,fruitfly,se,75,1000000,99.7709,65,89.2368,76.95294,,1.2,0.771568
strobealign-caa3745f-mcsfirststrobe,map,sim4,fruitfly,se,100,1000000,99.9657,85,90.3719,80.30228,,1.5,0.783291
strobealign-caa3745f-mcsfirststrobe,map,sim4,fruitfly,se,150,1000000,99.9855,108,91.6569,84.2536,,2.3,0.803684
strobealign-caa3745f-mcsfirststrobe,map,sim4,fruitfly,se,200,1000000,99.9814,159,92.4987,86.11853,,2.8,0.836304
strobealign-caa3745f-mcsfirststrobe,map,sim4,fruitfly,se,300,1000000,99.9725,261,93.6758,89.09537,,4.1,0.901859
strobealign-caa3745f-mcsfirststrobe,map,sim4,fruitfly,se,500,1000000,99.9604,387,95.0606,91.35388,,5.0,0.925331
strobealign-caa3745f-mcsfirststrobe,map,sim6,fruitfly,se,50,1000000,76.7489,43,63.0925,37.5856,,0.7,0.729103
strobealign-caa3745f-mcsfirststrobe,map,sim6,fruitfly,se,75,1000000,84.0439,54,72.4479,40.88265,,0.9,0.765526
strobealign-caa3745f-mcsfirststrobe,map,sim6,fruitfly,se,100,1000000,91.9175,62,80.2486,46.94751,,1.1,0.785103
strobealign-caa3745f-mcsfirststrobe,map,sim6,fruitfly,se,150,1000000,97.8988,133,87.3184,57.00276,,1.5,0.803753
strobealign-caa3745f-mcsfirststrobe,map,sim6,fruitfly,se,200,1000000,98.7846,185,89.0909,59.53865,,1.8,0.834534
strobealign-caa3745f-mcsfirststrobe,map,sim6,fruitfly,se,300,1000000,99.855,250,91.6767,69.52773,,2.5,0.902607
strobealign-caa3745f-mcsfirststrobe,map,sim6,fruitfly,se,500,1000000,99.954,394,93.3208,76.08813,,3.1,0.927307
strobealign-caa3745f,align,sim0,maize,se,50,1000000,98.376,0,50.8223,50.82197,95.2946,8.9,9.80758
strobealign-caa3745f,align,sim0,maize,se,75,1000000,99.4856,0,63.8711,63.8703,97.1636,8.5,9.81215
strobealign-caa3745f,align,sim0,maize,se,100,1000000,99.8929,0,72.6154,72.61296,98.2889,8.0,9.82018
strobealign-caa3745f,align,sim0,maize,se,150,1000000,100.0,0,82.7189,82.7178,99.1438,8.9,9.88914
strobealign-caa3745f,align,sim0,maize,se,200,1000000,100.0,0,87.9636,87.96256,99.5359,10.9,9.82312
strobealign-caa3745f,align,sim0,maize,se,300,1000000,100.0,0,92.8768,92.87644,99.7901,16.0,9.86481
strobealign-caa3745f,align,sim0,maize,se,500,1000000,100.0,0,96.3757,96.37518,99.9298,21.4,8.20747
strobealign-caa3745f,align,sim4,maize,se,50,1000000,98.1594,77,48.3046,48.12732,93.2118,10.3,9.81403
strobealign-caa3745f,align,sim4,maize,se,75,1000000,99.4972,102,61.1716,60.8536,94.8799,11.2,9.81832
strobealign-caa3745f,align,sim4,maize,se,100,1000000,99.9092,113,69.8966,69.46777,95.6485,12.5,9.82622
strobealign-caa3745f,align,sim4,maize,se,150,1000000,99.9829,171,80.4405,79.94924,96.3884,15.9,9.95368
strobealign-caa3745f,align,sim4,maize,se,200,1000000,99.9751,249,86.0984,85.63607,97.3049,23.0,9.90851
strobealign-caa3745f,align,sim4,maize,se,300,1000000,99.9697,303,91.7334,91.34489,98.4599,39.6,9.91505
strobealign-caa3745f,align,sim4,maize,se,500,1000000,99.9475,525,95.726,95.41625,99.3178,71.6,8.37154
strobealign-caa3745f,align,sim6,maize,se,50,1000000,86.8891,79,30.7972,30.16912,73.2728,11.6,9.81408
strobealign-caa3745f,align,sim6,maize,se,75,1000000,91.1017,106,41.6562,40.60457,75.6025,16.6,9.81845
strobealign-caa3745f,align,sim6,maize,se,100,1000000,95.7731,113,50.7293,49.15858,79.0769,22.4,9.82631
strobealign-caa3745f,align,sim6,maize,se,150,1000000,99.1488,164,62.0366,59.5252,83.2873,31.6,9.8351
strobealign-caa3745f,align,sim6,maize,se,200,1000000,99.5414,243,68.3499,65.23158,85.784,49.3,9.85042
strobealign-caa3745f,align,sim6,maize,se,300,1000000,99.9371,293,77.5944,74.17499,90.973,96.9,9.90467
strobealign-caa3745f,align,sim6,maize,se,500,1000000,99.9523,462,85.3731,82.56775,95.4987,235.4,8.28531
strobealign-caa3745f-mcsrescue,align,sim0,maize,se,50,1000000,98.3738,0,50.6457,50.64512,95.0438,8.6,9.80571
strobealign-caa3745f-mcsrescue,align,sim0,maize,se,75,1000000,99.485,0,63.5719,63.57122,96.8496,8.9,9.80769
strobealign-caa3745f-mcsrescue,align,sim0,maize,se,100,1000000,99.8927,0,72.1772,72.17531,97.8088,8.3,9.82206
strobealign-caa3745f-mcsrescue,align,sim0,maize,se,150,1000000,99.9992,0,82.5062,82.50539,98.884,8.7,9.88849
strobealign-caa3745f-mcsrescue,align,sim0,maize,se,200,1000000,100.0,0,87.8635,87.8628,99.4439,10.0,9.82108
strobealign-caa3745f-mcsrescue,align,sim0,maize,se,300,1000000,100.0,0,92.8603,92.8601,99.7553,16.5,9.86266
strobealign-caa3745f-mcsrescue,align,sim0,maize,se,500,1000000,100.0,0,96.3675,96.36712,99.9188,25.5,8.35154
strobealign-caa3745f-mcsrescue,align,sim4,maize,se,50,1000000,98.0254,77,47.7879,47.61377,92.3602,9.6,9.81489
strobealign-caa3745f-mcsrescue,align,sim4,maize,se,75,1000000,99.4308,102,60.2243,59.91679,93.8308,11.9,9.81587
strobealign-caa3745f-mcsrescue,align,sim4,maize,se,100,1000000,99.8797,113,68.7928,68.37606,94.68,13.4,9.82434
strobealign-caa3745f-mcsrescue,align,sim4,maize,se,150,1000000,99.9797,171,79.568,79.09293,95.9811,17.1,9.96885
strobealign-caa3745f-mcsrescue,align,sim4,maize,se,200,1000000,99.975,249,85.5247,85.07138,97.0551,24.4,9.90335
strobealign-caa3745f-mcsrescue,align,sim4,maize,se,300,1000000,99.9697,303,91.5239,91.13771,98.4036,41.3,9.97448
strobealign-caa3745f-mcsrescue,align,sim4,maize,se,500,1000000,99.9475,525,95.6785,95.3687,99.298,78.8,8.53287
strobealign-caa3745f-mcsrescue,align,sim6,maize,se,50,1000000,86.5891,79,30.1183,29.50058,71.9318,10.3,9.81062
strobealign-caa3745f-mcsrescue,align,sim6,maize,se,75,1000000,90.8352,106,40.0318,39.00785,73.1839,15.5,9.81718
strobealign-caa3745f-mcsrescue,align,sim6,maize,se,100,1000000,95.5891,113,48.3548,46.84346,76.4114,22.3,9.82248
strobealign-caa3745f-mcsrescue,align,sim6,maize,se,150,1000000,99.0673,164,58.4546,56.04648,80.2275,36.6,9.98289
strobealign-caa3745f-mcsrescue,align,sim6,maize,se,200,1000000,99.51,243,63.4932,60.5299,81.9692,59.7,9.99274
strobealign-caa3745f-mcsrescue,align,sim6,maize,se,300,1000000,99.9371,293,69.8399,66.71783,86.1174,124.9,10.0832
strobealign-caa3745f-mcsrescue,align,sim6,maize,se,500,1000000,99.9523,462,74.2815,71.79204,90.5377,335.6,8.48035
strobealign-caa3745f-mcsfirststrobe,align,sim0,maize,se,50,1000000,88.6824,0,50.7353,50.73465,87.2502,9.0,9.80573
strobealign-caa3745f-mcsfirststrobe,align,sim0,maize,se,75,1000000,93.7308,0,63.8602,63.85988,92.3723,8.4,9.81098
