tool,type,dataset,genome,ends,read_length,aligned,accuracy,overaligned,time,memory
bwamem,align,sim5,drosophila,se,100,98.3283,88.0335,7107,25.358,1.06582
bwamem,align,sim5,drosophila,se,150,99.1255,90.1595,8060,38.062,0.949368
bwamem,align,sim5,drosophila,se,200,99.0785,91.1552,9155,50.993,0.876488
bwamem,align,sim5,drosophila,se,300,98.89,92.3194,11099,87.499,0.896023
bwamem,align,sim5,drosophila,se,500,98.5462,93.3263,14538,156.964,0.820889
minimap2,align,sim3,drosophila,se,50,92.1508,80.237,1653,10.600,1.31179
minimap2,align,sim3,drosophila,se,75,99.2447,87.9625,1774,13.159,1.34941
minimap2,align,sim3,drosophila,se,100,99.7442,89.4994,1943,13.980,1.27291
minimap2,align,sim3,drosophila,se,150,99.7854,91.0275,2128,17.248,1.24712
minimap2,align,sim3,drosophila,se,200,99.7451,92.028,2546,20.989,1.17548
minimap2,align,sim3,drosophila,se,300,99.6952,93.2637,3048,33.454,1.0966
minimap2,align,sim3,drosophila,se,500,99.5781,94.6323,4194,63.653,1.03572
minimap2,align,sim4,drosophila,se,50,83.8142,72.9015,3010,10.497,1.29187
minimap2,align,sim4,drosophila,se,75,97.3052,86.1319,3240,12.962,1.32952
minimap2,align,sim4,drosophila,se,100,99.2374,88.9428,3528,14.490,1.27197
minimap2,align,sim4,drosophila,se,150,99.5822,90.8064,4066,17.606,1.2419
minimap2,align,sim4,drosophila,se,200,99.5394,91.765,4599,20.946,1.17067
minimap2,align,sim4,drosophila,se,300,99.428,92.9367,5720,33.155,1.09356
minimap2,align,sim4,drosophila,se,500,99.2182,94.2627,7801,64.829,1.02869
minimap2,align,sim5,drosophila,se,50,81.2295,70.6112,6066,10.525,1.26341
minimap2,align,sim5,drosophila,se,75,95.1079,84.0773,6477,13.290,1.32681
minimap2,align,sim5,drosophila,se,100,97.5796,87.2804,7107,14.557,1.27286
minimap2,align,sim5,drosophila,se,150,98.912,89.9548,8060,17.422,1.23312
minimap2,align,sim5,drosophila,se,200,99.0614,91.1365,9155,21.638,1.18004
minimap2,align,sim5,drosophila,se,300,98.8895,92.3124,11099,34.360,1.0918
minimap2,align,sim5,drosophila,se,500,98.5462,93.2976,14538,59.794,1.0337
strobealign-0.14.0,map,sim3,drosophila,se,50,96.5987,83.4339,256,2.70,0.732143
strobealign-0.14.0,map,sim3,drosophila,se,75,99.3256,87.3618,416,3.53,0.75388
strobealign-0.14.0,map,sim3,drosophila,se,100,99.5139,88.5582,639,3.92,0.77494
strobealign-0.14.0,map,sim3,drosophila,se,150,99.7261,90.3876,966,4.66,0.817524
strobealign-0.14.0,map,sim3,drosophila,se,200,99.7331,91.4577,1363,5.70,0.86285
strobealign-0.14.0,map,sim3,drosophila,se,300,99.6948,92.8086,2123,8.54,0.949123
strobealign-0.14.0,map,sim3,drosophila,se,500,99.5778,94.0872,3611,10.45,0.996208
strobealign-0.14.0,map,sim4,drosophila,se,50,91.9849,79.0747,403,2.61,0.732201
strobealign-0.14.0,map,sim4,drosophila,se,75,97.5906,85.3282,756,3.31,0.753254
strobealign-0.14.0,map,sim4,drosophila,se,100,98.1778,86.8401,1099,3.66,0.774811
strobealign-0.14.0,map,sim4,drosophila,se,150,99.0704,89.3105,1675,4.36,0.817375
strobealign-0.14.0,map,sim4,drosophila,se,200,99.3852,90.644,2369,5.20,0.861164
strobealign-0.14.0,map,sim4,drosophila,se,300,99.425,92.0327,3938,7.70,0.949795
strobealign-0.14.0,map,sim4,drosophila,se,500,99.2182,93.197,6587,9.60,0.995972
strobealign-0.14.0,map,sim5,drosophila,se,50,89.6078,76.8779,772,2.56,0.732113
strobealign-0.14.0,map,sim5,drosophila,se,75,95.5804,83.4334,1443,3.37,0.754578
strobealign-0.14.0,map,sim5,drosophila,se,100,96.3252,84.9791,2116,3.55,0.775093
strobealign-0.14.0,map,sim5,drosophila,se,150,97.3895,87.556,3232,4.20,0.817101
strobealign-0.14.0,map,sim5,drosophila,se,200,98.1903,89.3052,4421,5.17,0.860992
strobealign-0.14.0,map,sim5,drosophila,se,300,98.8451,91.3044,7338,7.53,0.947815
strobealign-0.14.0,map,sim5,drosophila,se,500,98.5412,92.1662,11893,8.45,0.95187
strobealign-mcs-022a721,map,sim3,drosophila,se,50,99.6035,85.8457,552,3.80,0.733791
strobealign-mcs-022a721,map,sim3,drosophila,se,75,99.7423,87.7993,477,5.17,0.753746
strobealign-mcs-022a721,map,sim3,drosophila,se,100,99.7957,88.9232,897,5.37,0.773636
strobealign-mcs-022a721,map,sim3,drosophila,se,150,99.7841,90.4496,1118,6.66,0.818428
strobealign-mcs-022a721,map,sim3,drosophila,se,200,99.7441,91.4429,1551,7.89,0.862885
strobealign-mcs-022a721,map,sim3,drosophila,se,300,99.6952,92.8184,2273,11.08,0.949421
strobealign-mcs-022a721,map,sim3,drosophila,se,500,99.5782,94.1129,3764,13.19,0.997746
strobealign-mcs-022a721,map,sim4,drosophila,se,50,98.8709,84.2449,969,3.69,0.734512
