tool,type,dataset,genome,read_length,aligned,accuracy,overaligned,time,memory
bwamem,align,sim5,drosophila,300,98.86775,94.19565,22644,183.918,0.866203
bwamem,align,sim5,drosophila,500,98.5458,94.35745,29084,322.784,0.869747
minimap2,align,sim3,drosophila,50,97.7945,88.31245,3262,25.806,1.69403
minimap2,align,sim3,drosophila,75,99.6926,91.3942,3577,36.916,1.57021
minimap2,align,sim3,drosophila,100,99.79365,92.2979,3873,24.746,1.49906
minimap2,align,sim3,drosophila,150,99.78415,93.21025,4299,31.544,1.23183
minimap2,align,sim3,drosophila,200,99.74415,93.4795,5116,46.607,1.17436
minimap2,align,sim3,drosophila,300,99.6951,95.29185,6097,56.276,1.1245
minimap2,align,sim3,drosophila,500,99.5806,95.4867,8336,147.710,1.2162
minimap2,align,sim4,drosophila,50,94.1595,84.88995,6008,26.704,1.68072
minimap2,align,sim4,drosophila,75,99.04195,90.6511,6411,38.920,1.56479
minimap2,align,sim4,drosophila,100,99.5591,92.02535,6989,24.445,1.47821
minimap2,align,sim4,drosophila,150,99.5915,92.9701,8122,30.758,1.26908
minimap2,align,sim4,drosophila,200,99.54535,93.2299,9089,45.741,1.19479
minimap2,align,sim4,drosophila,300,99.43065,94.91995,11387,55.473,1.12885
minimap2,align,sim4,drosophila,500,99.21995,95.06185,15566,142.727,1.23294
minimap2,align,sim5,drosophila,50,91.6492,82.482,12134,25.072,1.64742
minimap2,align,sim5,drosophila,75,97.24085,88.8155,12919,36.273,1.57361
minimap2,align,sim5,drosophila,100,98.3326,90.6441,14215,24.510,1.46756
minimap2,align,sim5,drosophila,150,99.09805,92.33565,16169,31.472,1.22929
minimap2,align,sim5,drosophila,200,99.0677,92.60805,18322,46.470,1.18652
minimap2,align,sim5,drosophila,300,98.8674,94.23515,22644,57.578,1.13196
minimap2,align,sim5,drosophila,500,98.5458,94.06505,29084,130.626,1.19361
strobealign-0.14.0,map,sim3,drosophila,50,96.6145,86.3482,458,7.31,0.936337
strobealign-0.14.0,map,sim3,drosophila,75,99.31475,90.3044,859,8.89,0.985882
strobealign-0.14.0,map,sim3,drosophila,100,99.52145,91.3518,1259,8.89,0.979065
strobealign-0.14.0,map,sim3,drosophila,150,99.72185,92.6763,1917,10.09,1.09538
strobealign-0.14.0,map,sim3,drosophila,200,99.73335,93.1841,2731,11.86,1.19528
strobealign-0.14.0,map,sim3,drosophila,300,99.69445,95.0046,4261,17.90,1.35807
strobealign-0.14.0,map,sim3,drosophila,500,99.58025,95.43545,7134,21.19,1.58116
strobealign-0.14.0,map,sim4,drosophila,50,91.99685,81.71995,802,6.99,0.93874
strobealign-0.14.0,map,sim4,drosophila,75,97.58405,88.21165,1485,7.98,0.982132
strobealign-0.14.0,map,sim4,drosophila,100,98.18835,89.5789,2100,8.36,1.02871
strobealign-0.14.0,map,sim4,drosophila,150,99.0743,91.60325,3361,9.70,1.13749
strobealign-0.14.0,map,sim4,drosophila,200,99.39355,92.4541,4622,10.97,1.20333
strobealign-0.14.0,map,sim4,drosophila,300,99.42805,94.34465,7849,15.97,1.37308
strobealign-0.14.0,map,sim4,drosophila,500,99.2199,94.65455,13199,19.20,1.60413
strobealign-0.14.0,map,sim5,drosophila,50,89.62845,79.4099,1538,6.84,0.93507
strobealign-0.14.0,map,sim5,drosophila,75,95.5391,86.15605,2895,7.77,1.00395
strobealign-0.14.0,map,sim5,drosophila,100,96.3158,87.5415,4180,8.24,1.04802
strobealign-0.14.0,map,sim5,drosophila,150,97.38225,89.75905,6473,9.05,1.11934
strobealign-0.14.0,map,sim5,drosophila,200,98.1879,91.0391,8913,10.54,1.18051
